user_id,imdb_title_id,rating
user_1,tt0003471,6
user_1,tt0008100,6
user_1,tt0010323,8
user_1,tt0012349,8
user_1,tt0012675,7
user_1,tt0013442,7
user_1,tt0014702,7
user_1,tt0015202,6
user_1,tt0015324,7
user_1,tt0015864,7
user_1,tt0016220,9
user_1,tt0016332,8
user_1,tt0017136,8
user_1,tt0017416,7
user_1,tt0018455,7
user_1,tt0020640,5
user_1,tt0020656,8
user_1,tt0021749,10
user_1,tt0021884,6
user_1,tt0022100,8
user_1,tt0022183,8
user_1,tt0022286,8
user_1,tt0022641,6
user_1,tt0022698,6
user_1,tt0022755,6
user_1,tt0022775,7
user_1,tt0022913,8
user_1,tt0023049,9
user_1,tt0023427,8
user_1,tt0023622,6
user_1,tt0023969,9
user_1,tt0024184,7
user_1,tt0024216,9
user_1,tt0025316,8
user_1,tt0025907,7
user_1,tt0026029,7
user_1,tt0026138,7
user_1,tt0026174,9
user_1,tt0026246,7
user_1,tt0026249,7
user_1,tt0026723,6
user_1,tt0027336,8
user_1,tt0027438,7
user_1,tt0027977,8
user_1,tt0028772,6
user_1,tt0028852,7
user_1,tt0029583,8
user_1,tt0029843,7
user_1,tt0029947,7
user_1,tt0030993,9
user_1,tt0031377,6
user_1,tt0031381,8
user_1,tt0031385,8
user_1,tt0031647,10
user_1,tt0031679,8
user_1,tt0032010,7
user_1,tt0032138,8
user_1,tt0032455,6
user_1,tt0032551,7
user_1,tt0032553,7
user_1,tt0032599,9
user_1,tt0032850,7
user_1,tt0032904,10
user_1,tt0032910,7
user_1,tt0032976,7
user_1,tt0033045,9
user_1,tt0033253,8
user_1,tt0033467,9
user_1,tt0033563,7
user_1,tt0033654,8
user_1,tt0033717,8
user_1,tt0033804,10
user_1,tt0033870,8
user_1,tt0034240,7
user_1,tt0034248,7
user_1,tt0034492,7
user_1,tt0034583,8
user_1,tt0035019,8
user_1,tt0035082,6
user_1,tt0035140,9
user_1,tt0035423,8
user_1,tt0036027,8
user_1,tt0036342,8
user_1,tt0036613,9
user_1,tt0036731,5
user_1,tt0036775,10
user_1,tt0036868,9
user_1,tt0037008,9
user_1,tt0037017,8
user_1,tt0037055,7
user_1,tt0037461,7
user_1,tt0037466,8
user_1,tt0037558,9
user_1,tt0037884,8
user_1,tt0038008,8
user_1,tt0038577,6
user_1,tt0038650,8
user_1,tt0038787,10
user_1,tt0038991,7
user_1,tt0039216,8
user_1,tt0039431,8
user_1,tt0039589,7
user_1,tt0039628,8
user_1,tt0039686,7
user_1,tt0039689,6
user_1,tt0039694,8
user_1,tt0039881,9
user_1,tt0039973,5
user_1,tt0040071,8
user_1,tt0040369,8
user_1,tt0040506,8
user_1,tt0040522,8
user_1,tt0040613,6
user_1,tt0040746,8
user_1,tt0040806,7
user_1,tt0040868,6
user_1,tt0040897,9
user_1,tt0041094,7
user_1,tt0041431,6
user_1,tt0041452,9
user_1,tt0041959,9
user_1,tt0041968,8
user_1,tt0042041,6
user_1,tt0042192,9
user_1,tt0042332,8
user_1,tt0042531,8
user_1,tt0042619,9
user_1,tt0042804,8
user_1,tt0042876,9
user_1,tt0042998,9
user_1,tt0043012,6
user_1,tt0043014,10
user_1,tt0043137,7
user_1,tt0043265,8
user_1,tt0043274,7
user_1,tt0043278,6
user_1,tt0043456,7
user_1,tt0043532,6
user_1,tt0043809,7
user_1,tt0043915,9
user_1,tt0043924,9
user_1,tt0044079,8
user_1,tt0044081,9
